record_id,set_id,name,year,theme,subtheme,themeGroup,category,pieces,minifigs,agerange_min,US_retailPrice,bricksetURL,thumbnailURL,imageURL
26,603-3,Veteran Car,1970,LEGOLAND,Vehicle,Vintage,Normal,32.0,,,,https://brickset.com/sets/603-3,https://images.brickset.com/sets/small/603-3.jpg,https://images.brickset.com/sets/images/603-3.jpg
27,620-2,Fire engine with opening doors and ladder,1970,LEGOLAND,Vehicle,Vintage,Normal,40.0,,,,https://brickset.com/sets/620-2,https://images.brickset.com/sets/small/620-2.jpg,https://images.brickset.com/sets/images/620-2.jpg
28,621-2,Articulated petrol tanker,1970,LEGOLAND,Vehicle,Vintage,Normal,43.0,,,,https://brickset.com/sets/621-2,https://images.brickset.com/sets/small/621-2.jpg,https://images.brickset.com/sets/images/621-2.jpg
29,622-2,Parcels trolley,1970,LEGOLAND,Vehicle,Vintage,Normal,33.0,,,,https://brickset.com/sets/622-2,https://images.brickset.com/sets/small/622-2.jpg,https://images.brickset.com/sets/images/622-2.jpg
30,623-2,Car and caravan,1970,LEGOLAND,Vehicle,Vintage,Normal,38.0,,,,https://brickset.com/sets/623-2,https://images.brickset.com/sets/small/623-2.jpg,https://images.brickset.com/sets/images/623-2.jpg
31,708-1,2m Extension Cord for Points,1970,Trains,Supplemental / 12V,Modern day,Normal,1.0,,,,https://brickset.com/sets/708-1,https://images.brickset.com/sets/small/708-1.jpg,https://images.brickset.com/sets/images/708-1.jpg
32,722-2,12V Electric Train with 2 Wagons,1970,Trains,12V,Modern day,Normal,151.0,,,,https://brickset.com/sets/722-2,https://images.brickset.com/sets/small/722-2.jpg,https://images.brickset.com/sets/images/722-2.jpg
33,723-1,Diesel Locomotive,1970,Trains,12V,Modern day,Normal,95.0,,,,https://brickset.com/sets/723-1,https://images.brickset.com/sets/small/723-1.jpg,https://images.brickset.com/sets/images/723-1.jpg
34,742-1,12v Transformer,1970,Trains,Supplemental / 12V,Modern day,Normal,1.0,,,,https://brickset.com/sets/742-1,https://images.brickset.com/sets/small/742-1.jpg,https://images.brickset.com/sets/images/742-1.jpg
35,800-1,Gears. Motor and Bricks,1970,Universal Building Set,Gears,Basic,Normal,120.0,,,,https://brickset.com/sets/800-1,https://images.brickset.com/sets/small/800-1.jpg,https://images.brickset.com/sets/images/800-1.jpg
36,801-1,Gear Set,1970,Universal Building Set,Gears,Basic,Normal,115.0,,,,https://brickset.com/sets/801-1,https://images.brickset.com/sets/small/801-1.jpg,https://images.brickset.com/sets/images/801-1.jpg
37,802-1,Gear Supplement,1970,Universal Building Set,Gears,Basic,Normal,30.0,,,,https://brickset.com/sets/802-1,https://images.brickset.com/sets/small/802-1.jpg,https://images.brickset.com/sets/images/802-1.jpg
38,102A-1,Front-End Loader,1970,LEGOLAND,Vehicle,Vintage,Other,57.0,,,,https://brickset.com/sets/102A-1,https://images.brickset.com/sets/small/102A-1.jpg,https://images.brickset.com/sets/images/102A-1.jpg
